order_id,timestamp,category,item_id,item_name,quantity,unit_price,total_amount,day_type
ORD2026050100001,2026-05-01 13:00:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100002,2026-05-01 11:19:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100003,2026-05-01 13:57:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100004,2026-05-01 13:56:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100005,2026-05-01 14:23:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100006,2026-05-01 14:12:00,Bakery,ITEM015,Lays,1,20,20,normal
ORD2026050100007,2026-05-01 15:59:00,Bakery,ITEM036,Ice Cream 50,1,50,50,normal
ORD2026050100008,2026-05-01 12:07:00,Bakery,ITEM045,Maaza,2,20,40,normal
ORD2026050100009,2026-05-01 11:35:00,Bakery,ITEM052,Mogu Mogu,1,40,40,normal
ORD2026050100010,2026-05-01 13:47:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100011,2026-05-01 11:28:00,Bakery,ITEM005,Small Samosa Half Plate,3,15,45,normal
ORD2026050100012,2026-05-01 13:22:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100013,2026-05-01 14:04:00,Bakery,ITEM009,Dilkhush,1,25,25,normal
ORD2026050100014,2026-05-01 11:21:00,Bakery,ITEM025,Dairy Milk,1,20,20,normal
ORD2026050100015,2026-05-01 11:41:00,Bakery,ITEM031,Ice Cream 25,1,25,25,normal
ORD2026050100016,2026-05-01 13:53:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100017,2026-05-01 10:52:00,Bakery,ITEM034,Ice Cream 40,1,40,40,normal
ORD2026050100018,2026-05-01 13:12:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100019,2026-05-01 13:47:00,Bakery,ITEM053,Red Bull,1,125,125,normal
ORD2026050100020,2026-05-01 13:41:00,Bakery,ITEM038,Pineapple Pastry,1,50,50,normal
ORD2026050100021,2026-05-01 15:03:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100022,2026-05-01 15:46:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100023,2026-05-01 13:19:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100024,2026-05-01 11:44:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100025,2026-05-01 13:43:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100026,2026-05-01 14:11:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100027,2026-05-01 13:08:00,Bakery,ITEM054,Appy Fizz Tin,2,40,80,normal
ORD2026050100028,2026-05-01 13:59:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
